Local time,Open,High,Low,Close,Volume
25.06.2024 00:00:00.000 GMT+0200,1.07332,1.07332,1.07320,1.07320,9.45
25.06.2024 00:00:01.000 GMT+0200,1.07319,1.07328,1.07318,1.07328,8.550000000000002
25.06.2024 00:00:02.000 GMT+0200,1.07329,1.07330,1.07324,1.07324,9.9
25.06.2024 00:00:03.000 GMT+0200,1.07324,1.07331,1.07324,1.07331,13.05
25.06.2024 00:00:04.000 GMT+0200,1.07330,1.07330,1.07330,1.07330,9
25.06.2024 00:00:05.000 GMT+0200,1.07331,1.07331,1.07331,1.07331,4.05
25.06.2024 00:00:07.000 GMT+0200,1.07331,1.07331,1.07331,1.07331,5.4
25.06.2024 00:00:13.000 GMT+0200,1.07337,1.07340,1.07337,1.07340,6.1499999999999995
25.06.2024 00:00:14.000 GMT+0200,1.07340,1.07341,1.07340,1.07341,4.95
25.06.2024 00:00:15.000 GMT+0200,1.07341,1.07341,1.07335,1.07335,5.85
25.06.2024 00:00:17.000 GMT+0200,1.07335,1.07335,1.07335,1.07335,3.6
25.06.2024 00:00:19.000 GMT+0200,1.07337,1.07340,1.07337,1.07340,8.1
25.06.2024 00:00:29.000 GMT+0200,1.07340,1.07342,1.07340,1.07342,9.45
25.06.2024 00:00:40.000 GMT+0200,1.07342,1.07342,1.07342,1.07342,4.95
25.06.2024 00:00:41.000 GMT+0200,1.07342,1.07342,1.07342,1.07342,4.05
25.06.2024 00:00:42.000 GMT+0200,1.07342,1.07342,1.07342,1.07342,4.05
25.06.2024 00:01:00.000 GMT+0200,1.07342,1.07342,1.07342,1.07342,3.6
25.06.2024 00:01:05.000 GMT+0200,1.07342,1.07342,1.07331,1.07331,6.75
25.06.2024 00:01:06.000 GMT+0200,1.07330,1.07330,1.07330,1.07330,10.8
25.06.2024 00:01:08.000 GMT+0200,1.07331,1.07331,1.07331,1.07331,3.6
25.06.2024 00:01:09.000 GMT+0200,1.07336,1.07337,1.07336,1.07337,15.299999999999999
25.06.2024 00:01:10.000 GMT+0200,1.07337,1.07337,1.07337,1.07337,10.8
25.06.2024 00:01:30.000 GMT+0200,1.07337,1.07337,1.07330,1.07330,10.350000000000001
