Local time,Open,High,Low,Close,Volume
21.05.2024 00:00:00.000 GMT+0200,1.08592,1.08595,1.08586,1.08586,19.800000000000004
21.05.2024 00:00:01.000 GMT+0200,1.08586,1.08596,1.08585,1.08589,9
21.05.2024 00:00:02.000 GMT+0200,1.08589,1.08590,1.08587,1.08590,5.85
21.05.2024 00:00:03.000 GMT+0200,1.08589,1.08589,1.08586,1.08588,6.3
21.05.2024 00:00:04.000 GMT+0200,1.08587,1.08587,1.08582,1.08582,9
21.05.2024 00:00:05.000 GMT+0200,1.08582,1.08582,1.08581,1.08582,8.55
21.05.2024 00:00:06.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,2.7
21.05.2024 00:00:07.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,0.45
21.05.2024 00:00:08.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,1.35
21.05.2024 00:00:09.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.45
21.05.2024 00:00:10.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9
21.05.2024 00:00:13.000 GMT+0200,1.08587,1.08587,1.08586,1.08587,7.6499999999999995
21.05.2024 00:00:15.000 GMT+0200,1.08586,1.08587,1.08586,1.08587,5.85
21.05.2024 00:00:19.000 GMT+0200,1.08589,1.08589,1.08582,1.08582,11.020000000000003
21.05.2024 00:00:21.000 GMT+0200,1.08584,1.08584,1.08582,1.08582,2.25
21.05.2024 00:00:23.000 GMT+0200,1.08584,1.08584,1.08582,1.08582,3.1500000000000004
21.05.2024 00:00:31.000 GMT+0200,1.08584,1.08584,1.08582,1.08582,4.05
21.05.2024 00:00:34.000 GMT+0200,1.08584,1.08584,1.08582,1.08582,8.32
21.05.2024 00:00:35.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,0.45
21.05.2024 00:00:38.000 GMT+0200,1.08583,1.08583,1.08583,1.08583,0.9
21.05.2024 00:00:39.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,0.45
21.05.2024 00:00:49.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,0.45
21.05.2024 00:00:55.000 GMT+0200,1.08582,1.08582,1.08577,1.08577,1.8
21.05.2024 00:01:00.000 GMT+0200,1.08577,1.08577,1.08572,1.08572,6.07
21.05.2024 00:01:13.000 GMT+0200,1.08572,1.08572,1.08572,1.08572,0.9
21.05.2024 00:01:15.000 GMT+0200,1.08573,1.08573,1.08572,1.08572,1.3500000000000003
21.05.2024 00:01:16.000 GMT+0200,1.08572,1.08572,1.08569,1.08569,2.2500000000000004
21.05.2024 00:01:20.000 GMT+0200,1.08569,1.08569,1.08568,1.08568,1.8
21.05.2024 00:02:00.000 GMT+0200,1.08567,1.08567,1.08567,1.08567,1.35
21.05.2024 00:02:01.000 GMT+0200,1.08568,1.08568,1.08568,1.08568,1.8
21.05.2024 00:02:07.000 GMT+0200,1.08567,1.08567,1.08564,1.08564,11.250000000000002
21.05.2024 00:02:11.000 GMT+0200,1.08563,1.08563,1.08563,1.08563,2.7
21.05.2024 00:02:31.000 GMT+0200,1.08564,1.08564,1.08564,1.08564,0.9
21.05.2024 00:03:38.000 GMT+0200,1.08563,1.08563,1.08563,1.08563,0.9
21.05.2024 00:04:16.000 GMT+0200,1.08563,1.08563,1.08563,1.08563,0.9
21.05.2024 00:04:18.000 GMT+0200,1.08563,1.08563,1.08563,1.08563,2.7
21.05.2024 00:04:20.000 GMT+0200,1.08564,1.08564,1.08564,1.08564,1.8
21.05.2024 00:04:40.000 GMT+0200,1.08564,1.08564,1.08564,1.08564,2.7
21.05.2024 00:04:56.000 GMT+0200,1.08564,1.08564,1.08563,1.08563,4.5
21.05.2024 00:05:07.000 GMT+0200,1.08563,1.08563,1.08563,1.08563,2.7
21.05.2024 00:05:10.000 GMT+0200,1.08564,1.08564,1.08564,1.08564,0.9
21.05.2024 00:05:51.000 GMT+0200,1.08569,1.08580,1.08569,1.08580,13.35
21.05.2024 00:06:32.000 GMT+0200,1.08581,1.08581,1.08580,1.08580,4.5
21.05.2024 00:06:50.000 GMT+0200,1.08580,1.08580,1.08580,1.08580,2.7
21.05.2024 00:07:52.000 GMT+0200,1.08582,1.08583,1.08582,1.08583,2.7000000000000006
21.05.2024 00:07:56.000 GMT+0200,1.08583,1.08583,1.08583,1.08583,2.7
21.05.2024 00:08:11.000 GMT+0200,1.08583,1.08583,1.08583,1.08583,0.9
21.05.2024 00:08:19.000 GMT+0200,1.08583,1.08583,1.08583,1.08583,0.9
21.05.2024 00:08:46.000 GMT+0200,1.08582,1.08583,1.08582,1.08583,3.6
21.05.2024 00:08:52.000 GMT+0200,1.08583,1.08583,1.08583,1.08583,0.9
21.05.2024 00:09:47.000 GMT+0200,1.08582,1.08583,1.08582,1.08583,10.8
21.05.2024 00:10:18.000 GMT+0200,1.08585,1.08587,1.08585,1.08585,3.6
21.05.2024 00:10:19.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,3.6
21.05.2024 00:10:20.000 GMT+0200,1.08586,1.08589,1.08586,1.08588,5.4
21.05.2024 00:10:31.000 GMT+0200,1.08586,1.08586,1.08585,1.08585,2.7000000000000006
21.05.2024 00:10:41.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:10:53.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:11:36.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,1.8
21.05.2024 00:11:46.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:11:58.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,2.7
21.05.2024 00:12:07.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:12:16.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:13:16.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:13:20.000 GMT+0200,1.08587,1.08589,1.08587,1.08587,5.4
21.05.2024 00:13:30.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9
21.05.2024 00:14:01.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:14:16.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:14:41.000 GMT+0200,1.08582,1.08582,1.08581,1.08581,4.05
21.05.2024 00:14:42.000 GMT+0200,1.08580,1.08580,1.08580,1.08580,0.9
21.05.2024 00:15:19.000 GMT+0200,1.08580,1.08580,1.08580,1.08580,1.8
21.05.2024 00:15:32.000 GMT+0200,1.08583,1.08588,1.08583,1.08588,6.3
21.05.2024 00:15:41.000 GMT+0200,1.08587,1.08587,1.08584,1.08584,2.7000000000000006
21.05.2024 00:16:11.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:16:30.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,3.6
21.05.2024 00:16:31.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,0.9
21.05.2024 00:16:39.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:19:17.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:19:18.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:19:21.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:19:32.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:20:40.000 GMT+0200,1.08584,1.08585,1.08584,1.08585,2.7000000000000006
21.05.2024 00:21:46.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:21:52.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:23:27.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,1.8
21.05.2024 00:25:22.000 GMT+0200,1.08586,1.08587,1.08586,1.08587,1.8
21.05.2024 00:25:42.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9
21.05.2024 00:26:09.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,0.11
21.05.2024 00:26:31.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,0.11
21.05.2024 00:26:32.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9
21.05.2024 00:26:37.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,1.8
21.05.2024 00:26:42.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9
21.05.2024 00:26:43.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:26:49.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:28:17.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.9
21.05.2024 00:29:09.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,1.8
21.05.2024 00:29:12.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,1.8
21.05.2024 00:29:13.000 GMT+0200,1.08582,1.08582,1.08580,1.08580,10.35
21.05.2024 00:29:19.000 GMT+0200,1.08578,1.08578,1.08578,1.08578,2.7
21.05.2024 00:29:51.000 GMT+0200,1.08579,1.08581,1.08579,1.08581,4.5
21.05.2024 00:29:52.000 GMT+0200,1.08581,1.08582,1.08581,1.08582,4.5
21.05.2024 00:30:19.000 GMT+0200,1.08584,1.08584,1.08583,1.08583,2.7000000000000006
21.05.2024 00:30:20.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,4.5
21.05.2024 00:30:22.000 GMT+0200,1.08580,1.08580,1.08580,1.08580,4.59
21.05.2024 00:30:35.000 GMT+0200,1.08579,1.08579,1.08579,1.08579,4.59
21.05.2024 00:30:38.000 GMT+0200,1.08579,1.08579,1.08575,1.08575,11.249999999999998
21.05.2024 00:31:01.000 GMT+0200,1.08575,1.08575,1.08575,1.08575,0.9900000000000001
21.05.2024 00:31:08.000 GMT+0200,1.08576,1.08576,1.08575,1.08575,12.780000000000001
21.05.2024 00:31:11.000 GMT+0200,1.08576,1.08576,1.08576,1.08576,3.81
21.05.2024 00:31:30.000 GMT+0200,1.08576,1.08576,1.08576,1.08576,4.5
21.05.2024 00:31:36.000 GMT+0200,1.08579,1.08579,1.08579,1.08579,3.6
21.05.2024 00:31:40.000 GMT+0200,1.08579,1.08579,1.08579,1.08579,0.9
21.05.2024 00:31:46.000 GMT+0200,1.08578,1.08578,1.08578,1.08578,4.5
21.05.2024 00:31:57.000 GMT+0200,1.08579,1.08579,1.08579,1.08579,0.9
21.05.2024 00:32:00.000 GMT+0200,1.08581,1.08581,1.08579,1.08579,8.1
21.05.2024 00:32:02.000 GMT+0200,1.08579,1.08579,1.08579,1.08579,0.9
21.05.2024 00:32:03.000 GMT+0200,1.08579,1.08579,1.08579,1.08579,0.9
21.05.2024 00:32:14.000 GMT+0200,1.08581,1.08581,1.08581,1.08581,0.9
21.05.2024 00:32:18.000 GMT+0200,1.08579,1.08579,1.08579,1.08579,0.9
21.05.2024 00:32:24.000 GMT+0200,1.08581,1.08581,1.08581,1.08581,0.9
21.05.2024 00:32:25.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,3.6
21.05.2024 00:32:26.000 GMT+0200,1.08581,1.08581,1.08581,1.08581,8.19
21.05.2024 00:32:27.000 GMT+0200,1.08581,1.08581,1.08581,1.08581,0.9
21.05.2024 00:32:35.000 GMT+0200,1.08580,1.08580,1.08580,1.08580,0.9
21.05.2024 00:32:38.000 GMT+0200,1.08580,1.08580,1.08580,1.08580,1.8
21.05.2024 00:32:39.000 GMT+0200,1.08582,1.08582,1.08581,1.08581,2.7000000000000006
21.05.2024 00:33:10.000 GMT+0200,1.08583,1.08583,1.08583,1.08583,3.6
21.05.2024 00:33:11.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,0.12
21.05.2024 00:33:16.000 GMT+0200,1.08582,1.08582,1.08582,1.08582,4.14
21.05.2024 00:33:18.000 GMT+0200,1.08583,1.08586,1.08583,1.08586,1.9800000000000002
21.05.2024 00:33:19.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,5.58
21.05.2024 00:33:24.000 GMT+0200,1.08587,1.08587,1.08586,1.08587,13.71
21.05.2024 00:33:33.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,4.59
21.05.2024 00:33:34.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,5.58
21.05.2024 00:33:39.000 GMT+0200,1.08589,1.08590,1.08589,1.08590,1.02
21.05.2024 00:33:40.000 GMT+0200,1.08590,1.08590,1.08590,1.08590,9.99
21.05.2024 00:33:46.000 GMT+0200,1.08592,1.08592,1.08592,1.08592,0.9
21.05.2024 00:33:47.000 GMT+0200,1.08592,1.08592,1.08592,1.08592,1.8
21.05.2024 00:33:50.000 GMT+0200,1.08591,1.08591,1.08591,1.08591,0.9
21.05.2024 00:34:10.000 GMT+0200,1.08591,1.08591,1.08591,1.08591,0.9
21.05.2024 00:36:19.000 GMT+0200,1.08590,1.08590,1.08590,1.08590,0.9
21.05.2024 00:36:39.000 GMT+0200,1.08588,1.08588,1.08586,1.08586,8.7
21.05.2024 00:36:40.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,4.9
21.05.2024 00:36:42.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.4
21.05.2024 00:36:46.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.4
21.05.2024 00:36:48.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.12
21.05.2024 00:37:48.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:38:30.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.12
21.05.2024 00:39:02.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9900000000000001
21.05.2024 00:39:37.000 GMT+0200,1.08585,1.08585,1.08584,1.08584,1.8900000000000001
21.05.2024 00:39:41.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9900000000000001
21.05.2024 00:39:50.000 GMT+0200,1.08586,1.08587,1.08586,1.08587,0.24
21.05.2024 00:39:52.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.12
21.05.2024 00:39:55.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,4.71
21.05.2024 00:40:10.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,0.12
21.05.2024 00:40:13.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,4.59
21.05.2024 00:40:34.000 GMT+0200,1.08583,1.08583,1.08583,1.08583,4.59
21.05.2024 00:40:45.000 GMT+0200,1.08583,1.08583,1.08583,1.08583,4.5
21.05.2024 00:41:12.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,3.81
21.05.2024 00:44:31.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,4.5
21.05.2024 00:45:39.000 GMT+0200,1.08587,1.08587,1.08585,1.08585,1.9200000000000002
21.05.2024 00:45:49.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,4.59
21.05.2024 00:45:54.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,4.59
21.05.2024 00:46:39.000 GMT+0200,1.08584,1.08584,1.08584,1.08584,0.9
21.05.2024 00:46:46.000 GMT+0200,1.08588,1.08588,1.08584,1.08584,2.8800000000000003
21.05.2024 00:47:11.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,0.12
21.05.2024 00:47:16.000 GMT+0200,1.08586,1.08589,1.08586,1.08589,1.5899999999999996
21.05.2024 00:47:17.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.12
21.05.2024 00:47:30.000 GMT+0200,1.08590,1.08590,1.08590,1.08590,0.54
21.05.2024 00:47:40.000 GMT+0200,1.08590,1.08590,1.08590,1.08590,0.12
21.05.2024 00:47:49.000 GMT+0200,1.08590,1.08590,1.08590,1.08590,0.9900000000000001
21.05.2024 00:48:02.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.9900000000000001
21.05.2024 00:48:07.000 GMT+0200,1.08591,1.08591,1.08589,1.08589,1.8900000000000001
21.05.2024 00:48:20.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.9900000000000001
21.05.2024 00:48:25.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,4.5
21.05.2024 00:48:31.000 GMT+0200,1.08588,1.08589,1.08588,1.08589,2.1
21.05.2024 00:48:40.000 GMT+0200,1.08588,1.08588,1.08587,1.08587,1.02
21.05.2024 00:48:51.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9900000000000001
21.05.2024 00:49:00.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,0.12
21.05.2024 00:49:20.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,0.12
21.05.2024 00:49:31.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9900000000000001
21.05.2024 00:49:38.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,3.69
21.05.2024 00:49:43.000 GMT+0200,1.08585,1.08585,1.08585,1.08585,4.59
21.05.2024 00:50:36.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.11
21.05.2024 00:51:03.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.11
21.05.2024 00:51:04.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.11
21.05.2024 00:51:07.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,3.71
21.05.2024 00:51:15.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9900000000000001
21.05.2024 00:51:22.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9
21.05.2024 00:51:25.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,2.97
21.05.2024 00:51:30.000 GMT+0200,1.08591,1.08591,1.08590,1.08590,1.1099999999999999
21.05.2024 00:53:06.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.12
21.05.2024 00:53:09.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,0.9900000000000001
21.05.2024 00:53:10.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,1.9800000000000002
21.05.2024 00:53:23.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,1.9800000000000002
21.05.2024 00:53:30.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.9900000000000001
21.05.2024 00:53:58.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,4.59
21.05.2024 00:54:00.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,0.12
21.05.2024 00:54:19.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.12
21.05.2024 00:55:11.000 GMT+0200,1.08591,1.08591,1.08589,1.08589,2.1
21.05.2024 00:55:41.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,1.9800000000000002
21.05.2024 00:56:01.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.9900000000000001
21.05.2024 00:56:19.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.9
21.05.2024 00:56:20.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.9
21.05.2024 00:57:06.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.9
21.05.2024 00:57:44.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.9
21.05.2024 00:57:53.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.9
21.05.2024 00:58:00.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,3.6
21.05.2024 00:58:21.000 GMT+0200,1.08588,1.08588,1.08588,1.08588,3.6
21.05.2024 00:58:22.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.12
21.05.2024 00:58:47.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,2.34
21.05.2024 00:58:48.000 GMT+0200,1.08587,1.08588,1.08587,1.08588,0.24
21.05.2024 00:58:51.000 GMT+0200,1.08589,1.08589,1.08589,1.08589,0.12
21.05.2024 00:59:44.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.54
21.05.2024 00:59:45.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.35999999999999993
21.05.2024 00:59:49.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,3.69
21.05.2024 00:59:54.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.24
21.05.2024 00:59:55.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.12
21.05.2024 00:59:56.000 GMT+0200,1.08586,1.08586,1.08586,1.08586,3.6
21.05.2024 00:59:59.000 GMT+0200,1.08587,1.08588,1.08587,1.08588,13.950000000000001
21.05.2024 01:00:03.000 GMT+0200,1.08587,1.08587,1.08586,1.08586,4.95
21.05.2024 01:00:05.000 GMT+0200,1.08587,1.08587,1.08587,1.08587,0.45
21.05.2024 01:00:06.000 GMT+0200,1.08588,1.08588,1.08587,1.08588,12.15
