Local time,Open,High,Low,Close,Volume
09.05.2024 00:00:00.000 GMT+0200,1.07485,1.07495,1.07485,1.07488,5.85
09.05.2024 00:00:01.000 GMT+0200,1.07487,1.07491,1.07487,1.07491,4.5
09.05.2024 00:00:02.000 GMT+0200,1.07490,1.07490,1.07485,1.07485,5.4
09.05.2024 00:00:03.000 GMT+0200,1.07488,1.07488,1.07487,1.07487,1.8
09.05.2024 00:00:06.000 GMT+0200,1.07486,1.07492,1.07486,1.07487,2.7000000000000006
09.05.2024 00:00:08.000 GMT+0200,1.07493,1.07495,1.07493,1.07495,2.69
09.05.2024 00:00:10.000 GMT+0200,1.07496,1.07496,1.07495,1.07495,4.500000000000001
09.05.2024 00:00:12.000 GMT+0200,1.07496,1.07496,1.07496,1.07496,0.9
09.05.2024 00:00:13.000 GMT+0200,1.07497,1.07497,1.07493,1.07493,5.4
09.05.2024 00:00:16.000 GMT+0200,1.07493,1.07495,1.07491,1.07495,11.74
09.05.2024 00:00:17.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,9.04
09.05.2024 00:00:35.000 GMT+0200,1.07498,1.07499,1.07498,1.07498,4.5
09.05.2024 00:00:45.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,18.98
09.05.2024 00:00:46.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,31.259999999999994
09.05.2024 00:00:48.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,6.25
09.05.2024 00:00:51.000 GMT+0200,1.07503,1.07503,1.07503,1.07503,7.2
09.05.2024 00:00:52.000 GMT+0200,1.07503,1.07503,1.07503,1.07503,1.8
09.05.2024 00:00:54.000 GMT+0200,1.07501,1.07501,1.07501,1.07501,0.94
09.05.2024 00:00:55.000 GMT+0200,1.07501,1.07501,1.07501,1.07501,0.94
09.05.2024 00:00:56.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,7.12
09.05.2024 00:01:00.000 GMT+0200,1.07502,1.07502,1.07501,1.07501,1.8
09.05.2024 00:01:05.000 GMT+0200,1.07501,1.07501,1.07501,1.07501,0.9
09.05.2024 00:01:12.000 GMT+0200,1.07501,1.07501,1.07501,1.07501,0.9
09.05.2024 00:01:27.000 GMT+0200,1.07501,1.07501,1.07501,1.07501,0.9
09.05.2024 00:02:00.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,9.04
09.05.2024 00:02:01.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,1.8
09.05.2024 00:02:15.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,1.8
09.05.2024 00:02:26.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,1.8
09.05.2024 00:02:42.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,2.7
09.05.2024 00:02:46.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,0.9
09.05.2024 00:03:00.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,3.01
09.05.2024 00:03:36.000 GMT+0200,1.07498,1.07498,1.07497,1.07497,4.81
09.05.2024 00:05:31.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,2.7000000000000006
09.05.2024 00:05:41.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,1.8
09.05.2024 00:07:00.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,2.7
09.05.2024 00:07:02.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,2.7
09.05.2024 00:08:08.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,2.7
09.05.2024 00:08:11.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,1.8
09.05.2024 00:08:21.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,2.7
09.05.2024 00:08:24.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,0.9
09.05.2024 00:08:45.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,1.8
09.05.2024 00:08:49.000 GMT+0200,1.07496,1.07496,1.07496,1.07496,1.8
09.05.2024 00:09:56.000 GMT+0200,1.07495,1.07495,1.07488,1.07488,14.25
09.05.2024 00:09:58.000 GMT+0200,1.07490,1.07492,1.07490,1.07492,4.500000000000001
09.05.2024 00:10:06.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,1.8
09.05.2024 00:10:28.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,2.7
09.05.2024 00:10:39.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,1.8
09.05.2024 00:10:40.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,1.8
09.05.2024 00:11:11.000 GMT+0200,1.07491,1.07492,1.07491,1.07492,4.95
09.05.2024 00:11:25.000 GMT+0200,1.07490,1.07490,1.07490,1.07490,1.8
09.05.2024 00:11:27.000 GMT+0200,1.07489,1.07489,1.07489,1.07489,1.8
09.05.2024 00:11:38.000 GMT+0200,1.07491,1.07493,1.07491,1.07493,3.6
09.05.2024 00:11:39.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,1.8
09.05.2024 00:12:43.000 GMT+0200,1.07492,1.07492,1.07490,1.07490,3.6
09.05.2024 00:13:00.000 GMT+0200,1.07490,1.07490,1.07487,1.07487,4.5
09.05.2024 00:13:05.000 GMT+0200,1.07487,1.07487,1.07487,1.07487,1.8
09.05.2024 00:13:06.000 GMT+0200,1.07488,1.07488,1.07488,1.07488,1.8
09.05.2024 00:13:11.000 GMT+0200,1.07487,1.07487,1.07486,1.07487,5.400000000000001
09.05.2024 00:13:17.000 GMT+0200,1.07488,1.07488,1.07488,1.07488,1.8
09.05.2024 00:13:18.000 GMT+0200,1.07487,1.07487,1.07487,1.07487,1.8
09.05.2024 00:13:21.000 GMT+0200,1.07488,1.07488,1.07488,1.07488,1.8
09.05.2024 00:13:22.000 GMT+0200,1.07487,1.07487,1.07487,1.07487,1.8
09.05.2024 00:13:33.000 GMT+0200,1.07488,1.07488,1.07488,1.07488,1.8
09.05.2024 00:13:57.000 GMT+0200,1.07487,1.07487,1.07487,1.07487,2.7
09.05.2024 00:14:04.000 GMT+0200,1.07488,1.07492,1.07488,1.07492,4.5
09.05.2024 00:14:14.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,2.7
09.05.2024 00:14:40.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,2.7
09.05.2024 00:14:43.000 GMT+0200,1.07493,1.07493,1.07492,1.07492,4.5
09.05.2024 00:14:45.000 GMT+0200,1.07493,1.07493,1.07493,1.07493,1.8
09.05.2024 00:14:48.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,2.7
09.05.2024 00:14:50.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,2.7
09.05.2024 00:15:00.000 GMT+0200,1.07493,1.07493,1.07493,1.07493,1.8
09.05.2024 00:15:01.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,1.8
09.05.2024 00:15:13.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,0.9
09.05.2024 00:16:00.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,1.8
09.05.2024 00:16:03.000 GMT+0200,1.07497,1.07498,1.07497,1.07498,4.5
09.05.2024 00:16:09.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,2.7
09.05.2024 00:16:18.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,1.8
09.05.2024 00:16:50.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,2.7
09.05.2024 00:18:06.000 GMT+0200,1.07497,1.07497,1.07496,1.07497,7.6499999999999995
09.05.2024 00:18:16.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,2.7
09.05.2024 00:18:24.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,0.9
09.05.2024 00:19:23.000 GMT+0200,1.07497,1.07497,1.07494,1.07494,2.2500000000000004
09.05.2024 00:19:34.000 GMT+0200,1.07494,1.07494,1.07494,1.07494,2.7
09.05.2024 00:19:47.000 GMT+0200,1.07496,1.07497,1.07496,1.07497,3.6
09.05.2024 00:20:01.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,2.7
09.05.2024 00:20:10.000 GMT+0200,1.07494,1.07494,1.07494,1.07494,2.7
09.05.2024 00:20:13.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,1.8
09.05.2024 00:20:17.000 GMT+0200,1.07494,1.07494,1.07494,1.07494,2.7
09.05.2024 00:20:27.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,1.8
09.05.2024 00:20:37.000 GMT+0200,1.07494,1.07494,1.07494,1.07494,3.6
09.05.2024 00:20:40.000 GMT+0200,1.07494,1.07494,1.07493,1.07493,4.5
09.05.2024 00:21:00.000 GMT+0200,1.07493,1.07493,1.07493,1.07493,2.7
09.05.2024 00:21:10.000 GMT+0200,1.07493,1.07493,1.07493,1.07493,2.7
09.05.2024 00:21:31.000 GMT+0200,1.07496,1.07496,1.07496,1.07496,0.9
09.05.2024 00:21:32.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,3.6
09.05.2024 00:21:42.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,2.7
09.05.2024 00:21:56.000 GMT+0200,1.07496,1.07496,1.07494,1.07494,8.1
09.05.2024 00:23:05.000 GMT+0200,1.07496,1.07496,1.07496,1.07496,0.9
09.05.2024 00:23:10.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,1.8
09.05.2024 00:23:11.000 GMT+0200,1.07496,1.07497,1.07496,1.07497,5.85
09.05.2024 00:23:18.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,2.7
09.05.2024 00:24:26.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,1.8
09.05.2024 00:24:35.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,2.7
09.05.2024 00:24:36.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,0.9
09.05.2024 00:25:14.000 GMT+0200,1.07496,1.07496,1.07492,1.07492,9.450000000000001
09.05.2024 00:25:19.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,2.7
09.05.2024 00:26:33.000 GMT+0200,1.07493,1.07493,1.07493,1.07493,1.8
09.05.2024 00:26:35.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,3.6
09.05.2024 00:26:47.000 GMT+0200,1.07493,1.07493,1.07493,1.07493,1.8
09.05.2024 00:26:49.000 GMT+0200,1.07492,1.07492,1.07492,1.07492,3.6
09.05.2024 00:27:06.000 GMT+0200,1.07493,1.07493,1.07492,1.07492,5.400000000000001
09.05.2024 00:27:12.000 GMT+0200,1.07494,1.07494,1.07494,1.07494,0.9
09.05.2024 00:27:32.000 GMT+0200,1.07493,1.07493,1.07493,1.07493,2.7
09.05.2024 00:28:01.000 GMT+0200,1.07496,1.07498,1.07496,1.07498,3.6
09.05.2024 00:28:56.000 GMT+0200,1.07496,1.07496,1.07495,1.07495,3.6
09.05.2024 00:29:04.000 GMT+0200,1.07497,1.07497,1.07496,1.07496,6.75
09.05.2024 00:29:05.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,1.8
09.05.2024 00:29:14.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,2.7
09.05.2024 00:30:12.000 GMT+0200,1.07496,1.07497,1.07496,1.07497,9.540000000000001
09.05.2024 00:30:24.000 GMT+0200,1.07499,1.07503,1.07499,1.07503,10.8
09.05.2024 00:30:28.000 GMT+0200,1.07504,1.07504,1.07504,1.07504,3.6
09.05.2024 00:30:31.000 GMT+0200,1.07503,1.07503,1.07503,1.07503,5.4
09.05.2024 00:30:32.000 GMT+0200,1.07503,1.07503,1.07500,1.07500,9
09.05.2024 00:30:37.000 GMT+0200,1.07501,1.07501,1.07501,1.07501,3.6
09.05.2024 00:30:39.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,4.5
09.05.2024 00:30:52.000 GMT+0200,1.07502,1.07503,1.07502,1.07503,9.09
09.05.2024 00:30:54.000 GMT+0200,1.07504,1.07505,1.07504,1.07504,9
09.05.2024 00:31:03.000 GMT+0200,1.07503,1.07503,1.07502,1.07502,9
09.05.2024 00:31:04.000 GMT+0200,1.07503,1.07503,1.07503,1.07503,3.6
09.05.2024 00:31:09.000 GMT+0200,1.07502,1.07502,1.07502,1.07502,3.6
09.05.2024 00:31:16.000 GMT+0200,1.07501,1.07501,1.07501,1.07501,4.95
09.05.2024 00:31:18.000 GMT+0200,1.07502,1.07502,1.07502,1.07502,3.6
09.05.2024 00:31:20.000 GMT+0200,1.07502,1.07502,1.07500,1.07500,8.55
09.05.2024 00:31:43.000 GMT+0200,1.07501,1.07501,1.07500,1.07500,7.29
09.05.2024 00:31:45.000 GMT+0200,1.07501,1.07501,1.07500,1.07500,8.1
09.05.2024 00:32:09.000 GMT+0200,1.07499,1.07499,1.07498,1.07498,6.77
09.05.2024 00:32:10.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,3.6
09.05.2024 00:32:14.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,4.05
09.05.2024 00:32:15.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,3.6
09.05.2024 00:32:16.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,3.6
09.05.2024 00:32:22.000 GMT+0200,1.07500,1.07500,1.07498,1.07500,10.8
09.05.2024 00:32:23.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,10.71
09.05.2024 00:32:25.000 GMT+0200,1.07499,1.07500,1.07499,1.07500,5.49
09.05.2024 00:32:45.000 GMT+0200,1.07503,1.07503,1.07503,1.07503,7.2
09.05.2024 00:32:55.000 GMT+0200,1.07503,1.07503,1.07503,1.07503,3.6
09.05.2024 00:32:56.000 GMT+0200,1.07500,1.07500,1.07499,1.07499,16.49
09.05.2024 00:32:59.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,4.59
09.05.2024 00:33:02.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,1.89
09.05.2024 00:33:03.000 GMT+0200,1.07500,1.07500,1.07500,1.07500,3.6
09.05.2024 00:34:02.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,4.95
09.05.2024 00:34:03.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,4.5
09.05.2024 00:34:13.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,6.3
09.05.2024 00:34:15.000 GMT+0200,1.07498,1.07500,1.07498,1.07500,7.2
09.05.2024 00:34:39.000 GMT+0200,1.07499,1.07499,1.07499,1.07499,5.4
09.05.2024 00:35:46.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,4.5
09.05.2024 00:35:59.000 GMT+0200,1.07497,1.07497,1.07496,1.07496,8.1
09.05.2024 00:36:00.000 GMT+0200,1.07497,1.07497,1.07496,1.07497,9.989999999999998
09.05.2024 00:36:29.000 GMT+0200,1.07498,1.07498,1.07498,1.07498,4.05
09.05.2024 00:36:31.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,5.4
09.05.2024 00:36:39.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,8.1
09.05.2024 00:36:50.000 GMT+0200,1.07496,1.07496,1.07496,1.07496,1.8
09.05.2024 00:36:53.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,0.9
09.05.2024 00:37:20.000 GMT+0200,1.07494,1.07494,1.07494,1.07494,5.4
09.05.2024 00:37:25.000 GMT+0200,1.07495,1.07497,1.07495,1.07497,12.78
09.05.2024 00:37:27.000 GMT+0200,1.07496,1.07496,1.07496,1.07496,5.94
09.05.2024 00:37:31.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,5.49
09.05.2024 00:37:46.000 GMT+0200,1.07496,1.07496,1.07495,1.07495,4.5
09.05.2024 00:38:01.000 GMT+0200,1.07494,1.07494,1.07494,1.07494,7.31
09.05.2024 00:38:11.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,3.6
09.05.2024 00:38:16.000 GMT+0200,1.07494,1.07494,1.07494,1.07494,7.31
09.05.2024 00:38:17.000 GMT+0200,1.07495,1.07495,1.07495,1.07495,3.6
09.05.2024 00:38:19.000 GMT+0200,1.07496,1.07497,1.07496,1.07497,10.800000000000002
09.05.2024 00:38:20.000 GMT+0200,1.07496,1.07496,1.07496,1.07496,5.49
09.05.2024 00:38:40.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,3.6
09.05.2024 00:38:41.000 GMT+0200,1.07496,1.07496,1.07496,1.07496,5.4
09.05.2024 00:38:42.000 GMT+0200,1.07497,1.07497,1.07496,1.07496,9.9
09.05.2024 00:38:43.000 GMT+0200,1.07497,1.07497,1.07496,1.07496,9
09.05.2024 00:38:44.000 GMT+0200,1.07497,1.07497,1.07497,1.07497,3.6
09.05.2024 00:38:45.000 GMT+0200,1.07496,1.07497,1.07496,1.07497,18
09.05.2024 00:38:46.000 GMT+0200,1.07496,1.07497,1.07496,1.07496,15.299999999999999
