Local time,Open,High,Low,Close,Volume
24.05.2024 00:00:00.000 GMT+0200,1.08145,1.08145,1.08141,1.08144,3.6
24.05.2024 00:00:01.000 GMT+0200,1.08145,1.08149,1.08145,1.08149,3.6
24.05.2024 00:00:02.000 GMT+0200,1.08148,1.08148,1.08147,1.08147,3.6
24.05.2024 00:00:03.000 GMT+0200,1.08146,1.08147,1.08146,1.08147,2.7000000000000006
24.05.2024 00:00:04.000 GMT+0200,1.08146,1.08146,1.08146,1.08146,1.8
24.05.2024 00:00:05.000 GMT+0200,1.08145,1.08145,1.08142,1.08142,5.35
24.05.2024 00:00:07.000 GMT+0200,1.08141,1.08141,1.08141,1.08141,1.53
24.05.2024 00:00:08.000 GMT+0200,1.08141,1.08141,1.08140,1.08140,1.8
24.05.2024 00:00:09.000 GMT+0200,1.08141,1.08141,1.08141,1.08141,0.9
24.05.2024 00:00:12.000 GMT+0200,1.08141,1.08141,1.08141,1.08141,0.9
24.05.2024 00:00:13.000 GMT+0200,1.08142,1.08142,1.08141,1.08141,3.6
24.05.2024 00:00:17.000 GMT+0200,1.08141,1.08141,1.08141,1.08141,0.9
24.05.2024 00:00:18.000 GMT+0200,1.08140,1.08140,1.08139,1.08139,4.95
24.05.2024 00:00:19.000 GMT+0200,1.08139,1.08139,1.08139,1.08139,4.5
24.05.2024 00:00:20.000 GMT+0200,1.08138,1.08138,1.08137,1.08137,2.7
24.05.2024 00:00:21.000 GMT+0200,1.08137,1.08137,1.08137,1.08137,1.8
24.05.2024 00:00:23.000 GMT+0200,1.08137,1.08137,1.08137,1.08137,1.35
24.05.2024 00:00:24.000 GMT+0200,1.08137,1.08137,1.08130,1.08130,2.7000000000000006
24.05.2024 00:00:25.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,0.9
24.05.2024 00:00:27.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,2.7
24.05.2024 00:00:28.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:00:29.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:00:30.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:00:31.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,2.25
24.05.2024 00:00:32.000 GMT+0200,1.08128,1.08129,1.08128,1.08129,5.400000000000001
24.05.2024 00:00:33.000 GMT+0200,1.08129,1.08130,1.08129,1.08130,4.05
24.05.2024 00:00:35.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,0.45
24.05.2024 00:00:36.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,0.45
24.05.2024 00:00:37.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.35
24.05.2024 00:00:39.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,0.45
24.05.2024 00:00:45.000 GMT+0200,1.08129,1.08130,1.08129,1.08130,3.5999999999999996
24.05.2024 00:00:49.000 GMT+0200,1.08130,1.08130,1.08129,1.08130,1.8
24.05.2024 00:00:50.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,0.45
24.05.2024 00:00:51.000 GMT+0200,1.08130,1.08130,1.08128,1.08128,4.95
24.05.2024 00:00:59.000 GMT+0200,1.08129,1.08129,1.08129,1.08129,1.8
24.05.2024 00:01:00.000 GMT+0200,1.08129,1.08129,1.08129,1.08129,0.9
24.05.2024 00:01:02.000 GMT+0200,1.08129,1.08129,1.08129,1.08129,1.8
24.05.2024 00:01:03.000 GMT+0200,1.08129,1.08129,1.08129,1.08129,0.9
24.05.2024 00:01:05.000 GMT+0200,1.08129,1.08129,1.08129,1.08129,0.9
24.05.2024 00:01:06.000 GMT+0200,1.08129,1.08131,1.08129,1.08131,4.5
24.05.2024 00:01:08.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:01:09.000 GMT+0200,1.08130,1.08131,1.08130,1.08131,2.7000000000000006
24.05.2024 00:01:15.000 GMT+0200,1.08130,1.08130,1.08129,1.08129,2.25
24.05.2024 00:01:16.000 GMT+0200,1.08130,1.08130,1.08129,1.08129,2.25
24.05.2024 00:01:17.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,1.8
24.05.2024 00:01:19.000 GMT+0200,1.08130,1.08130,1.08129,1.08129,2.7000000000000006
24.05.2024 00:01:20.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,1.8
24.05.2024 00:01:21.000 GMT+0200,1.08132,1.08132,1.08132,1.08132,0.9
24.05.2024 00:01:23.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,0.9
24.05.2024 00:01:36.000 GMT+0200,1.08132,1.08132,1.08132,1.08132,0.9
24.05.2024 00:01:37.000 GMT+0200,1.08132,1.08132,1.08131,1.08131,2.7000000000000006
24.05.2024 00:01:39.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:01:42.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,0.9
24.05.2024 00:01:45.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.53
24.05.2024 00:01:53.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:02:00.000 GMT+0200,1.08134,1.08134,1.08134,1.08134,1.8
24.05.2024 00:02:01.000 GMT+0200,1.08133,1.08134,1.08133,1.08134,3.6
24.05.2024 00:02:02.000 GMT+0200,1.08130,1.08131,1.08129,1.08131,8.1
24.05.2024 00:02:04.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,1.8
24.05.2024 00:02:05.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,3.6
24.05.2024 00:02:08.000 GMT+0200,1.08127,1.08127,1.08127,1.08127,3.6
24.05.2024 00:02:09.000 GMT+0200,1.08130,1.08131,1.08127,1.08127,4.5
24.05.2024 00:02:10.000 GMT+0200,1.08126,1.08127,1.08126,1.08126,8.1
24.05.2024 00:02:11.000 GMT+0200,1.08126,1.08126,1.08126,1.08126,1.8
24.05.2024 00:02:12.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:02:15.000 GMT+0200,1.08126,1.08126,1.08126,1.08126,0.9
24.05.2024 00:02:16.000 GMT+0200,1.08130,1.08130,1.08126,1.08128,7.2
24.05.2024 00:02:17.000 GMT+0200,1.08129,1.08129,1.08129,1.08129,1.8
24.05.2024 00:02:18.000 GMT+0200,1.08125,1.08125,1.08125,1.08125,1.8
24.05.2024 00:02:20.000 GMT+0200,1.08128,1.08128,1.08125,1.08125,3.6
24.05.2024 00:02:21.000 GMT+0200,1.08128,1.08128,1.08128,1.08128,1.8
24.05.2024 00:02:27.000 GMT+0200,1.08127,1.08127,1.08127,1.08127,1.8
24.05.2024 00:02:35.000 GMT+0200,1.08129,1.08129,1.08129,1.08129,1.8
24.05.2024 00:02:40.000 GMT+0200,1.08125,1.08129,1.08125,1.08129,6.300000000000001
24.05.2024 00:02:41.000 GMT+0200,1.08125,1.08125,1.08125,1.08125,1.8
24.05.2024 00:02:57.000 GMT+0200,1.08125,1.08129,1.08125,1.08129,3.6
24.05.2024 00:02:59.000 GMT+0200,1.08125,1.08125,1.08125,1.08125,7.2
24.05.2024 00:03:01.000 GMT+0200,1.08129,1.08129,1.08128,1.08129,5.400000000000001
24.05.2024 00:03:02.000 GMT+0200,1.08129,1.08129,1.08128,1.08128,3.6
24.05.2024 00:03:06.000 GMT+0200,1.08132,1.08135,1.08129,1.08129,7.2
24.05.2024 00:03:07.000 GMT+0200,1.08128,1.08134,1.08128,1.08134,3.3499999999999996
24.05.2024 00:03:08.000 GMT+0200,1.08135,1.08135,1.08128,1.08128,5.699999999999999
24.05.2024 00:03:09.000 GMT+0200,1.08134,1.08135,1.08134,1.08135,5.8
24.05.2024 00:03:15.000 GMT+0200,1.08134,1.08134,1.08131,1.08131,6.699999999999999
24.05.2024 00:03:21.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,2.9
24.05.2024 00:03:24.000 GMT+0200,1.08131,1.08131,1.08129,1.08129,2.35
24.05.2024 00:03:25.000 GMT+0200,1.08129,1.08129,1.08129,1.08129,1.8
24.05.2024 00:03:26.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,1.45
24.05.2024 00:03:27.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,1.45
24.05.2024 00:03:28.000 GMT+0200,1.08129,1.08133,1.08129,1.08133,13.549999999999999
24.05.2024 00:03:29.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,1.45
24.05.2024 00:03:30.000 GMT+0200,1.08131,1.08131,1.08131,1.08131,1.45
24.05.2024 00:03:31.000 GMT+0200,1.08131,1.08134,1.08130,1.08130,4.7
24.05.2024 00:03:34.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:03:40.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,4.500000000000001
24.05.2024 00:03:41.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,0.9
24.05.2024 00:03:42.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,1.8
24.05.2024 00:03:44.000 GMT+0200,1.08130,1.08130,1.08129,1.08130,2.7000000000000006
24.05.2024 00:03:50.000 GMT+0200,1.08130,1.08130,1.08130,1.08130,0.9
