Local time,Open,High,Low,Close,Volume
03.05.2024 00:00:00.000 GMT+0200,1.07233,1.07250,1.07233,1.07250,12.6
03.05.2024 00:00:01.000 GMT+0200,1.07253,1.07253,1.07234,1.07237,3.1500000000000004
03.05.2024 00:00:02.000 GMT+0200,1.07252,1.07253,1.07252,1.07253,3.6
03.05.2024 00:00:03.000 GMT+0200,1.07250,1.07250,1.07250,1.07250,5.400000000000001
03.05.2024 00:00:05.000 GMT+0200,1.07253,1.07255,1.07253,1.07255,1.8
03.05.2024 00:00:06.000 GMT+0200,1.07258,1.07260,1.07258,1.07260,2.7000000000000006
03.05.2024 00:00:07.000 GMT+0200,1.07260,1.07263,1.07260,1.07260,2.7000000000000006
03.05.2024 00:00:08.000 GMT+0200,1.07271,1.07272,1.07271,1.07272,2.7000000000000006
03.05.2024 00:00:09.000 GMT+0200,1.07271,1.07275,1.07271,1.07275,5.4
03.05.2024 00:00:10.000 GMT+0200,1.07275,1.07277,1.07275,1.07275,5.400000000000001
03.05.2024 00:00:12.000 GMT+0200,1.07276,1.07276,1.07275,1.07275,6.300000000000001
03.05.2024 00:00:13.000 GMT+0200,1.07277,1.07277,1.07277,1.07277,0.9
03.05.2024 00:00:15.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,2.7000000000000006
03.05.2024 00:00:16.000 GMT+0200,1.07275,1.07281,1.07275,1.07281,6.300000000000001
03.05.2024 00:00:17.000 GMT+0200,1.07281,1.07281,1.07276,1.07276,5.85
03.05.2024 00:00:27.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,1.8
03.05.2024 00:00:30.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,3.6
03.05.2024 00:00:37.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,3.6
03.05.2024 00:01:00.000 GMT+0200,1.07276,1.07278,1.07276,1.07277,11.21
03.05.2024 00:01:01.000 GMT+0200,1.07277,1.07277,1.07277,1.07277,1.8
03.05.2024 00:01:02.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,3.6
03.05.2024 00:01:20.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,5.4
03.05.2024 00:01:40.000 GMT+0200,1.07276,1.07277,1.07276,1.07277,4.5
03.05.2024 00:01:50.000 GMT+0200,1.07277,1.07277,1.07277,1.07277,0.9
03.05.2024 00:02:17.000 GMT+0200,1.07277,1.07277,1.07277,1.07277,0.9
03.05.2024 00:02:18.000 GMT+0200,1.07277,1.07277,1.07277,1.07277,0.9
03.05.2024 00:02:19.000 GMT+0200,1.07277,1.07277,1.07277,1.07277,1.8
03.05.2024 00:02:20.000 GMT+0200,1.07277,1.07277,1.07276,1.07276,5.4
03.05.2024 00:02:23.000 GMT+0200,1.07277,1.07277,1.07277,1.07277,1.8
03.05.2024 00:02:29.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,4.5
03.05.2024 00:02:30.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,4.5
03.05.2024 00:02:39.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,2.7
03.05.2024 00:02:41.000 GMT+0200,1.07277,1.07277,1.07277,1.07277,1.8
03.05.2024 00:02:46.000 GMT+0200,1.07276,1.07276,1.07276,1.07276,4.5
03.05.2024 00:02:47.000 GMT+0200,1.07277,1.07277,1.07276,1.07276,6.300000000000001
03.05.2024 00:02:49.000 GMT+0200,1.07278,1.07281,1.07278,1.07281,16.610000000000003
03.05.2024 00:02:50.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,0.45
03.05.2024 00:02:51.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,0.45
03.05.2024 00:02:52.000 GMT+0200,1.07280,1.07280,1.07280,1.07280,0.9
03.05.2024 00:02:53.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,0.9
03.05.2024 00:02:54.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,0.9
03.05.2024 00:02:55.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,0.9
03.05.2024 00:02:57.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,0.9
03.05.2024 00:02:58.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,0.9
03.05.2024 00:03:07.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,1.35
03.05.2024 00:03:08.000 GMT+0200,1.07281,1.07281,1.07281,1.07281,1.35
03.05.2024 00:03:11.000 GMT+0200,1.07283,1.07283,1.07282,1.07282,4.5
03.05.2024 00:03:12.000 GMT+0200,1.07282,1.07282,1.07282,1.07282,2.7000000000000006
