Local time,Open,High,Low,Close,Volume
08.05.2024 00:00:00.000 GMT+0200,1.07559,1.07559,1.07556,1.07557,5.400000000000001
08.05.2024 00:00:01.000 GMT+0200,1.07556,1.07560,1.07556,1.07558,8.1
08.05.2024 00:00:02.000 GMT+0200,1.07563,1.07563,1.07558,1.07560,11.7
08.05.2024 00:00:03.000 GMT+0200,1.07559,1.07559,1.07559,1.07559,2.7000000000000006
08.05.2024 00:00:04.000 GMT+0200,1.07559,1.07559,1.07556,1.07556,5.4
08.05.2024 00:00:05.000 GMT+0200,1.07555,1.07555,1.07555,1.07555,0.9
08.05.2024 00:00:06.000 GMT+0200,1.07557,1.07557,1.07555,1.07555,2.7000000000000006
08.05.2024 00:00:08.000 GMT+0200,1.07556,1.07556,1.07556,1.07556,0.9
08.05.2024 00:00:09.000 GMT+0200,1.07555,1.07555,1.07554,1.07554,1.8
08.05.2024 00:00:10.000 GMT+0200,1.07556,1.07556,1.07555,1.07555,3.6
08.05.2024 00:00:11.000 GMT+0200,1.07555,1.07556,1.07555,1.07555,7.05
08.05.2024 00:00:12.000 GMT+0200,1.07555,1.07555,1.07555,1.07555,0.9
08.05.2024 00:00:13.000 GMT+0200,1.07554,1.07554,1.07550,1.07550,2.7000000000000006
08.05.2024 00:00:16.000 GMT+0200,1.07549,1.07549,1.07547,1.07548,10.8
08.05.2024 00:00:17.000 GMT+0200,1.07547,1.07547,1.07547,1.07547,1.8
08.05.2024 00:00:18.000 GMT+0200,1.07550,1.07550,1.07547,1.07547,2.7000000000000006
08.05.2024 00:00:24.000 GMT+0200,1.07548,1.07548,1.07547,1.07547,2.7000000000000006
08.05.2024 00:00:25.000 GMT+0200,1.07547,1.07547,1.07547,1.07547,2.7000000000000006
08.05.2024 00:00:26.000 GMT+0200,1.07548,1.07550,1.07547,1.07550,6.75
08.05.2024 00:00:28.000 GMT+0200,1.07551,1.07551,1.07551,1.07551,0.9
08.05.2024 00:00:30.000 GMT+0200,1.07552,1.07552,1.07552,1.07552,0.9
08.05.2024 00:00:33.000 GMT+0200,1.07551,1.07551,1.07550,1.07550,6.300000000000001
08.05.2024 00:00:39.000 GMT+0200,1.07549,1.07549,1.07546,1.07546,8.1
08.05.2024 00:00:47.000 GMT+0200,1.07547,1.07547,1.07547,1.07547,0.9
08.05.2024 00:00:57.000 GMT+0200,1.07546,1.07547,1.07546,1.07547,2.7000000000000006
08.05.2024 00:01:00.000 GMT+0200,1.07546,1.07546,1.07546,1.07546,3.15
08.05.2024 00:01:01.000 GMT+0200,1.07547,1.07547,1.07547,1.07547,0.9
08.05.2024 00:01:02.000 GMT+0200,1.07546,1.07546,1.07546,1.07546,3.15
08.05.2024 00:01:04.000 GMT+0200,1.07547,1.07547,1.07547,1.07547,0.9
08.05.2024 00:01:06.000 GMT+0200,1.07546,1.07546,1.07546,1.07546,1.8
08.05.2024 00:01:10.000 GMT+0200,1.07547,1.07547,1.07546,1.07546,2.7000000000000006
08.05.2024 00:01:13.000 GMT+0200,1.07545,1.07546,1.07545,1.07546,4.95
08.05.2024 00:01:14.000 GMT+0200,1.07547,1.07547,1.07547,1.07547,0.9
08.05.2024 00:01:34.000 GMT+0200,1.07546,1.07547,1.07546,1.07547,5.4
08.05.2024 00:01:36.000 GMT+0200,1.07546,1.07547,1.07546,1.07547,4.05
08.05.2024 00:02:00.000 GMT+0200,1.07547,1.07547,1.07547,1.07547,0.9
08.05.2024 00:02:08.000 GMT+0200,1.07546,1.07546,1.07543,1.07543,2.7000000000000006
08.05.2024 00:03:17.000 GMT+0200,1.07542,1.07542,1.07542,1.07542,2.7
08.05.2024 00:03:19.000 GMT+0200,1.07543,1.07543,1.07543,1.07543,0.9
08.05.2024 00:03:24.000 GMT+0200,1.07542,1.07542,1.07542,1.07542,2.7
08.05.2024 00:03:54.000 GMT+0200,1.07543,1.07543,1.07543,1.07543,4.5
08.05.2024 00:03:57.000 GMT+0200,1.07542,1.07542,1.07542,1.07542,5.4
08.05.2024 00:03:58.000 GMT+0200,1.07543,1.07543,1.07543,1.07543,0.9
08.05.2024 00:04:00.000 GMT+0200,1.07542,1.07542,1.07542,1.07542,1.8
08.05.2024 00:04:03.000 GMT+0200,1.07543,1.07543,1.07542,1.07542,3.6
08.05.2024 00:04:04.000 GMT+0200,1.07543,1.07543,1.07543,1.07543,0.9
08.05.2024 00:04:22.000 GMT+0200,1.07541,1.07541,1.07540,1.07540,4.8
08.05.2024 00:04:23.000 GMT+0200,1.07540,1.07541,1.07540,1.07541,4.95
08.05.2024 00:04:28.000 GMT+0200,1.07541,1.07541,1.07541,1.07541,4.5
08.05.2024 00:04:45.000 GMT+0200,1.07542,1.07542,1.07542,1.07542,0.9
08.05.2024 00:04:52.000 GMT+0200,1.07541,1.07541,1.07541,1.07541,5.4
08.05.2024 00:04:57.000 GMT+0200,1.07541,1.07541,1.07541,1.07541,0.9
08.05.2024 00:05:00.000 GMT+0200,1.07541,1.07541,1.07541,1.07541,4.5
08.05.2024 00:05:12.000 GMT+0200,1.07541,1.07541,1.07541,1.07541,1.8
08.05.2024 00:05:17.000 GMT+0200,1.07541,1.07541,1.07541,1.07541,0.9
