Local time,Open,High,Low,Close,Volume
22.05.2024 00:00:00.000 GMT+0200,1.08545,1.08545,1.08538,1.08538,15.299999999999999
22.05.2024 00:00:01.000 GMT+0200,1.08538,1.08541,1.08537,1.08537,2.46
22.05.2024 00:00:02.000 GMT+0200,1.08536,1.08542,1.08536,1.08542,1.1
22.05.2024 00:00:03.000 GMT+0200,1.08538,1.08538,1.08538,1.08538,0.22
22.05.2024 00:00:04.000 GMT+0200,1.08542,1.08542,1.08540,1.08540,0.66
22.05.2024 00:00:19.000 GMT+0200,1.08541,1.08541,1.08541,1.08541,0.22
22.05.2024 00:00:20.000 GMT+0200,1.08540,1.08540,1.08540,1.08540,0.22
22.05.2024 00:00:26.000 GMT+0200,1.08545,1.08545,1.08545,1.08545,0.22
22.05.2024 00:00:27.000 GMT+0200,1.08552,1.08552,1.08552,1.08552,0.22
22.05.2024 00:00:28.000 GMT+0200,1.08556,1.08556,1.08554,1.08554,0.44
22.05.2024 00:00:31.000 GMT+0200,1.08546,1.08546,1.08546,1.08546,0.22
22.05.2024 00:00:34.000 GMT+0200,1.08554,1.08554,1.08554,1.08554,0.22
22.05.2024 00:01:24.000 GMT+0200,1.08556,1.08556,1.08556,1.08556,4.5
22.05.2024 00:01:34.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,4.5
22.05.2024 00:02:00.000 GMT+0200,1.08558,1.08558,1.08558,1.08558,1.8
22.05.2024 00:02:47.000 GMT+0200,1.08556,1.08558,1.08556,1.08558,8.1
22.05.2024 00:02:57.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,1.8
22.05.2024 00:02:58.000 GMT+0200,1.08558,1.08558,1.08558,1.08558,1.8
22.05.2024 00:03:30.000 GMT+0200,1.08560,1.08560,1.08559,1.08559,3.6
22.05.2024 00:03:31.000 GMT+0200,1.08564,1.08564,1.08562,1.08562,3.8200000000000007
22.05.2024 00:03:32.000 GMT+0200,1.08561,1.08561,1.08559,1.08559,5.400000000000001
22.05.2024 00:03:37.000 GMT+0200,1.08560,1.08562,1.08560,1.08562,3.6
22.05.2024 00:03:38.000 GMT+0200,1.08562,1.08562,1.08557,1.08557,9.9
22.05.2024 00:03:40.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,3.6
22.05.2024 00:03:43.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,1.8
22.05.2024 00:03:46.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,1.8
22.05.2024 00:03:48.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,3.6
22.05.2024 00:04:12.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,3.6
22.05.2024 00:04:13.000 GMT+0200,1.08558,1.08558,1.08558,1.08558,1.8
22.05.2024 00:04:20.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,6.3
22.05.2024 00:04:50.000 GMT+0200,1.08557,1.08557,1.08557,1.08557,1.8
22.05.2024 00:04:51.000 GMT+0200,1.08558,1.08558,1.08558,1.08558,1.8
22.05.2024 00:05:21.000 GMT+0200,1.08560,1.08561,1.08560,1.08560,5.400000000000001
22.05.2024 00:05:22.000 GMT+0200,1.08559,1.08562,1.08559,1.08562,5.400000000000001
22.05.2024 00:05:23.000 GMT+0200,1.08562,1.08565,1.08562,1.08564,5.400000000000001
22.05.2024 00:05:24.000 GMT+0200,1.08563,1.08565,1.08562,1.08563,9.22
22.05.2024 00:05:25.000 GMT+0200,1.08562,1.08562,1.08562,1.08562,1.8
22.05.2024 00:05:26.000 GMT+0200,1.08563,1.08563,1.08562,1.08562,3.6
22.05.2024 00:05:28.000 GMT+0200,1.08562,1.08562,1.08562,1.08562,1.8
22.05.2024 00:05:29.000 GMT+0200,1.08562,1.08562,1.08562,1.08562,3.6
22.05.2024 00:05:31.000 GMT+0200,1.08562,1.08562,1.08562,1.08562,1.8
